Feature,Importance,Std
LPM,0.42253899574279785,0.08190743636140245
Blending_Time,0.14564868807792664,0.03200586631506832
37.1046,0.011007662614186604,0.0029506412967400045
17.2405,0.009572184085845948,0.002194793356601134
29.8132,0.008768486976623534,0.0017723599381021182
38.7008,0.008560740947723388,0.001982325821976612
17.0828,0.008274914820988973,0.0025766312219832636
34.2078,0.008243266741434734,0.001736994175464214
15.5654,0.007752704620361328,0.002454029917009462
17.0631,0.007680199543635051,0.0020321506868148775
16.2157,0.007678810755411784,0.0018387659537635898
15.3092,0.007415670156478882,0.0015669825309068649
17.1616,0.006301605701446533,0.001745255855366077
16.6493,0.006141875187555949,0.0018529853881886907
19.7235,0.006051025787989299,0.0020588185817381976
19.9205,0.005748772621154785,0.001341475627518258
17.2602,0.005563990275065104,0.0017697853900954961
11.2891,0.005561343828837077,0.0017173121347019244
25.4975,0.005550686518351237,0.001368484844495882
16.1566,0.005540883541107178,0.0015703174460339176
12.9839,0.005144562323888143,0.0014387136068904909
23.8421,0.005125697453816732,0.0019432645583883097
29.3994,0.005113391081492106,0.001916144603537076
17.1025,0.00506887435913086,0.0011730232905017405
28.5126,0.004870522022247315,0.0013288412514305286
21.0635,0.004600791136423746,0.0010361939739165886
15.8019,0.004489288727442423,0.002654838617283231
19.0338,0.004453202088673909,0.0012546733027162366
28.6702,0.004452508687973022,0.0010286886361908114
17.1419,0.004358772436777751,0.0011723089591538264
21.9306,0.004160422086715698,0.0012964016278720414
16.5901,0.00412587324778239,0.0011397282568320199
11.3482,0.0040114502112070715,0.0015540666497967908
21.1226,0.003912631670633952,0.0011036334827203439
19.8417,0.003838924566904704,0.001427189189004219
19.7038,0.00382648507754008,0.0008897222013507296
19.9008,0.003766000270843506,0.0011691387991573374
32.7692,0.0037287155787150065,0.0010172003698395856
19.8614,0.0037010828653971355,0.0013166617642592386
19.96,0.0035039226214090982,0.0020265646243062493
18.9943,0.0030039230982462565,0.001194636531495256
16.5704,0.00284309188524882,0.0013011413312753767
16.1763,0.0027963042259216307,0.0005888890510831934
19.8811,0.0027808805306752523,0.000946635853849031
18.9746,0.002644572655359904,0.0010652964518543615
19.9403,0.0026137789090474447,0.0006670342855979042
16.196,0.0025334020455678305,0.0006271949549123048
22.0686,0.0025273342927296955,0.000882118613957653
22.0094,0.002216766277949015,0.0008529306906876613
23.7239,0.0020989676316579184,0.0009621271006918918
18.8958,0.0020207424958546957,0.0006159816934945975
18.8761,0.001970390478769938,0.0005785555308172365
